position_id,symbol,entry_time,exit_time,entry_price,exit_price,profit,adverse
442844537,USTEC,2026-07-23 13:48:31,2026-07-23 14:33:03,28660.9,28538.35,-1.23,"{'adverse_buy': np.float64(-158.3000000000029), 'adverse_sell': np.float64(68.68000000000029)}"
442844503,US500,2026-07-23 13:48:29,2026-07-23 14:33:03,7439.75,7420.44,-0.58,"{'adverse_buy': np.float64(-23.109999999999673), 'adverse_sell': np.float64(11.640000000000327)}"
442839821,AUDUSD,2026-07-23 13:44:01,2026-07-23 13:59:52,0.69815,0.69727,-0.88,"{'adverse_buy': np.float64(-0.0011200000000000099), 'adverse_sell': np.float64(6.999999999990347e-05)}"
442821469,USOIL,2026-07-23 13:22:05,2026-07-23 14:33:03,89.686,90.856,-11.7,"{'adverse_buy': np.float64(-0.05200000000000671), 'adverse_sell': np.float64(1.2489999999999952)}"
442752199,EURGBP,2026-07-23 12:20:09,2026-07-23 14:33:03,0.85314,0.85336,0.29,"{'adverse_buy': np.float64(-0.00031000000000003247), 'adverse_sell': np.float64(0.00034000000000000696)}"
442693361,USOIL,2026-07-23 11:00:00,2026-07-23 11:41:48,89.093,89.932,-8.39,"{'adverse_buy': np.float64(-0.03100000000000591), 'adverse_sell': np.float64(0.9829999999999899)}"
442688960,XAGUSD,2026-07-23 10:50:01,2026-07-23 11:40:56,58.82000000000001,58.289,-26.55,"{'adverse_buy': np.float64(-0.8500000000000085), 'adverse_sell': np.float64(0.027999999999991587)}"
442688964,XAUUSD,2026-07-23 10:50:01,2026-07-23 11:40:25,4093.268,4075.958,-17.31,"{'adverse_buy': np.float64(-20.47699999999986), 'adverse_sell': np.float64(2.230999999999767)}"
442647077,USTEC,2026-07-23 09:34:12,2026-07-23 11:22:45,28934.56,28889.07,-22.75,"{'adverse_buy': np.float64(-80.53000000000247), 'adverse_sell': np.float64(48.64999999999782)}"
442650778,USDCHF,2026-07-23 09:31:59,2026-07-23 11:06:21,0.81474,0.81535,-0.75,"{'adverse_buy': np.float64(-0.00021000000000004349), 'adverse_sell': np.float64(0.0006199999999999539)}"
442643524,DE30,2026-07-23 09:21:47,2026-07-23 11:41:48,25019.2,24941.100000000002,-88.92,"{'adverse_buy': np.float64(-85.70000000000073), 'adverse_sell': np.float64(32.89999999999782)}"
442643638,US500,2026-07-23 09:18:07,2026-07-23 09:34:25,7488.2,7481.18,-0.35,"{'adverse_buy': np.float64(-7.210000000000036), 'adverse_sell': np.float64(-0.42000000000007276)}"
442643051,US30,2026-07-23 09:15:57,2026-07-23 11:23:37,52105.0,52044.0,-61.0,"{'adverse_buy': np.float64(-70.19999999999709), 'adverse_sell': np.float64(58.900000000001455)}"
442609775,EURGBP,2026-07-23 08:16:04,2026-07-23 08:41:15,0.8540300000000001,0.85388,0.2,"{'adverse_buy': np.float64(-0.00044000000000010697), 'adverse_sell': np.float64(0.00012999999999996348)}"
442605928,US500,2026-07-23 08:10:18,2026-07-23 11:35:43,7482.7300000000005,7464.05,-0.56,"{'adverse_buy': np.float64(-21.770000000000437), 'adverse_sell': np.float64(13.86999999999989)}"
442605821,USTEC,2026-07-23 08:10:13,2026-07-23 09:34:12,28896.64,28934.14,0.38,"{'adverse_buy': np.float64(-17.659999999999854), 'adverse_sell': np.float64(101.5)}"
442605679,US30,2026-07-23 08:10:06,2026-07-23 11:29:01,52110.8,52039.9,-0.71,"{'adverse_buy': np.float64(-103.0), 'adverse_sell': np.float64(66.29999999999563)}"
